circuit_name,best_qual_time_s,air_temp_max,track_temp_min,track_temp_range,wind_speed_mean,winddirection_mean
Albert Park Grand Prix Circuit,77.60906578947368,21.0126582278481,26.39620253164557,7.431645569620254,1.8533992531227987,199.65743741797112
Autodromo Enzo e Dino Ferrari,78.96054385964912,21.533333333333335,30.933333333333334,6.0666666666666655,2.2905124074237997,210.76284382284385
Autodromo Nazionale di Monza,80.787875,30.075,41.1,6.2250000000000005,1.4950454346718445,188.0917451213504
Autódromo Hermanos Rodríguez,77.82997468354431,25.175,37.3,10.500000000000004,1.7063609893484109,256.5039068087175
Autódromo José Carlos Pace,75.49781012658228,21.9,31.5,10.549999999999999,1.249822577826717,179.92386285426477
Bahrain International Circuit,91.09378749999999,25.575,26.775,5.3999999999999995,0.9699553132007154,63.41074739982262
Baku City Circuit,102.74610126582279,25.25,34.675,8.474999999999998,1.4176711545272043,142.15772604588395
Circuit Gilles Villeneuve,79.3355375,21.625,33.2,5.725,1.9255201249418565,213.70213980429833
Circuit Park Zandvoort,72.23778205128205,20.525,25.975,5.875,2.6556404983038093,195.47897201270646
Circuit Paul Ricard,92.60125000000001,30.8,43.3,23.700000000000003,1.94609375,
Circuit de Barcelona-Catalunya,74.66516455696203,29.139240506329113,39.71518987341772,6.78607594936709,2.2867164155745856,162.63294256317764
Circuit de Monaco,71.9295875,24.5,31.6,13.600000000000001,0.9917536332714902,175.9306818181818
Circuit de Spa-Francorchamps,108.7642875,20.7,29.35,5.750000000000001,1.5608243638841819,187.71323048163543
Circuit of the Americas,94.60977215189872,30.075,39.65,4.0,3.095953017570664,191.59440720569756
Hungaroring,77.1448625,25.45,34.825,7.275,2.2189045571077775,218.1754099702493
Jeddah Corniche Circuit,89.69370512820514,27.4,30.525,3.75,1.6150759719171632,172.4381149913178
Las Vegas Strip Street Circuit,100.0262,18.0,16.933333333333334,6.3,2.2121355857171454,209.00806758253566
Losail International Circuit,82.39388333333333,25.233333333333334,27.3,3.4000000000000017,1.2661865707891233,175.23233317707204
Marina Bay Street Circuit,96.59960256410257,29.65,31.5,5.25,1.1029732841753301,170.49944593450027
Miami International Autodrome,88.22703797468354,29.275,35.775,13.000000000000004,2.5913132659252307,169.72507469149164
Red Bull Ring,66.56295,26.55,37.025,5.424999999999999,1.4096233422505464,151.29127441659412
Shanghai International Circuit,93.1584,23.6,28.65,8.999999999999998,1.934155844155844,194.5225108225108
Silverstone Circuit,91.7279875,19.525,23.925,11.025000000000002,1.8278809553125335,188.54276413406635
Suzuka Circuit,89.49983544303798,21.025,25.95,7.350000000000001,1.8283894960529845,186.8106600861199
Yas Marina Circuit,83.91943037974684,28.175,29.975,7.275000000000001,1.969327797674572,215.01370326370326
